"","X","sample.id","PC1","PC2","country","chrom","normalised","N_DATA","N_GENOTYPES_FILTERED","N_MISS","F_MISS"
"108",20,"UGA_TT003_trimmed",0.0889420720774003,-0.345870168619692,"Uganda","NC_017750_Trichuris_trichiura_mitochondrion_complete_genome",83618.6692154038,1496,0,1,0.000668449
"109",21,"UGA_TT004_trimmed",0.29498735476921,-0.264711294299799,"Uganda","NC_017750_Trichuris_trichiura_mitochondrion_complete_genome",95727.2389392422,1496,0,158,0.105615
"110",22,"UGA_TT005_trimmed",0.266971974642349,-0.319886388322969,"Uganda","NC_017750_Trichuris_trichiura_mitochondrion_complete_genome",134007.351315821,1496,0,346,0.231283
"111",23,"UGA_TT006_trimmed",0.256439496414176,-0.335450135528356,"Uganda","NC_017750_Trichuris_trichiura_mitochondrion_complete_genome",57368.4115809896,1496,0,474,0.316845
"112",24,"UGA_TT007_trimmed",0.263955299174954,-0.323071915443668,"Uganda","NC_017750_Trichuris_trichiura_mitochondrion_complete_genome",45860.4025164459,1496,0,510,0.340909
"113",25,"UGA_TT008_trimmed",0.243064513219282,-0.34370251099901,"Uganda","NC_017750_Trichuris_trichiura_mitochondrion_complete_genome",21133.6209222778,1496,0,479,0.320187
"114",26,"UGA_TT010_trimmed",0.266722320168405,-0.327577194468778,"Uganda","NC_017750_Trichuris_trichiura_mitochondrion_complete_genome",140410.562347983,1496,0,211,0.141043
"115",27,"UGA_TT011_trimmed",0.257145991889661,-0.332687916265129,"Uganda","NC_017750_Trichuris_trichiura_mitochondrion_complete_genome",95743.6230845955,1496,0,384,0.256684
"116",28,"UGA_TT012_trimmed",0.235527125369346,-0.344128087791478,"Uganda","NC_017750_Trichuris_trichiura_mitochondrion_complete_genome",14228.7393246588,1496,0,493,0.329545
"117",29,"UGA_TT013_trimmed",0.0998726972455993,-0.351170987849909,"Uganda","NC_017750_Trichuris_trichiura_mitochondrion_complete_genome",16008.4045877923,1496,0,270,0.180481
"118",30,"ZAF006_trimmed",-0.209981339650747,-0.164302196050915,"South Africa","NC_017750_Trichuris_trichiura_mitochondrion_complete_genome",507.345373074575,1496,0,472,0.315508
