"","species","start","end","sample_id","raw_read_counts","raw_reads_n","normalised","country","total_read_counts","percentage"
"251","Ascaris_lum_TZA",0,14280,"MMR016_trimmed",1,75671922,0.925416050678372,"Myanmar",2707.74365314565,0.000341766492409019
"252","Ascaris_lum_TZA",0,14280,"MMR_NDK113_trimmed",4,36645824,7.64376439776404,"Myanmar",2707.74365314565,0.00282292763898979
"253","Ascaris_lum_TZA",0,14280,"MMR_NDK63_trimmed",37,44801624,57.8335377879567,"Myanmar",2707.74365314565,0.0213585720054297
"254","Ascaris_lum_TZA",0,14280,"MMR_NKD92_trimmed",33,41118442,56.2016520408993,"Myanmar",2707.74365314565,0.020755898356777
"255","Ascaris_lum_TZA",0,14280,"MMR_TKU102_trimmed",74,35545456,145.787209176094,"Myanmar",2707.74365314565,0.0538408460515565
"256","Ascaris_lum_TZA",0,14280,"MMR_TKU23_trimmed",10,37687968,18.5809994331564,"Myanmar",2707.74365314565,0.00686217080098053
"257","Ascaris_lum_TZA",0,14280,"MMR_TKU25_trimmed",41,32147398,89.3120015306916,"Myanmar",2707.74365314565,0.0329839205520566
"258","Ascaris_lum_TZA",0,14280,"MOZ028_trimmed",4,131034298,2.13770019829409,"Mozambique",324.502421665954,0.00658762479281176
"259","Ascaris_lum_TZA",0,14280,"MOZ030_trimmed",6,162697410,2.58251232903395,"Mozambique",324.502421665954,0.00795837613715072
"260","Ascaris_lum_TZA",0,14280,"ZAF002_trimmed",0,77746670,0,"South Africa",1450.45506730951,0
"261","Ascaris_lum_TZA",0,14280,"ZAF003_trimmed",0,91508578,0,"South Africa",1450.45506730951,0
"262","Ascaris_lum_TZA",0,14280,"ZAF004_trimmed",0,80263198,0,"South Africa",1450.45506730951,0
"263","Ascaris_lum_TZA",0,14280,"ZAF005_trimmed",11,98244530,7.84072276847678,"South Africa",1450.45506730951,0.00540569849090241
"264","Ascaris_lum_TZA",0,14280,"ZAF006_trimmed",0,72830114,0,"South Africa",1450.45506730951,0
